cadeia,latitude,longitude,referencia_cadastral,uso_cadastral,area_edificio_m2,contexto,status_volta,motivo,fonte_area
Alcampo,40.480352,-3.7068876,ES.SDGC.BU.0014901VK3891D,4_2_retail,59937.4,Centro comercial,Centro comercial,Edifício comercial de grande dimensão ou complexo multioperador,Catastro INSPIRE BU
Alcampo,41.9669832,2.7810003,2062301DG8426C,4_1_office,26896.0,Centro comercial,Centro comercial,Edifício de grande dimensão ou possível complexo multioperador,Catastro INSPIRE BU
Alcampo,28.4635752,-16.3065039,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Alcampo,40.3931896,-3.654694,4518801VK4741H,1_residential,13577.4,Centro comercial,Centro comercial,Edifício de grande dimensão ou possível complexo multioperador,Catastro INSPIRE BU
Alcampo,42.2152257,-8.7013419,4838301NG2743N,1_residential,14824.3,Centro comercial,Centro comercial,Edifício de grande dimensão ou possível complexo multioperador,Catastro INSPIRE BU
Alcampo,37.3700494,-5.9663333,7403001TG3470S,4_2_retail,21957.7,Centro comercial,Centro comercial,Edifício de grande dimensão ou possível complexo multioperador,Catastro INSPIRE BU
Alcampo,42.4360682,0.0842891,0525125BH6002N,4_2_retail,1019.1,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Alcampo,43.2699384,-1.9707704,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Alcampo,43.3172927,-1.9150265,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Alcampo,40.9498449,-5.6607694,6167201TL7366G,4_2_retail,1114.0,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Alcampo,40.6435986,-4.6995629,6407302UL5060N,4_2_retail,11217.2,Centro comercial,Centro comercial,Edifício de grande dimensão ou possível complexo multioperador,Catastro INSPIRE BU
Alcampo,36.7415191,-3.5295558,2967801VF5626F,1_residential,13690.3,Centro comercial,Centro comercial,Edifício de grande dimensão ou possível complexo multioperador,Catastro INSPIRE BU
Alcampo,40.9616908,-5.6497898,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Alcampo,42.5180493,-7.5050109,3186007PH2038N,4_2_retail,1605.1,Loja isolada provável,Provável,Implantação entre 400 e 5.000 m²; confirmar área de venda,Catastro INSPIRE BU
Alcampo,37.3912366,-5.9124558,,,,Não classificado,Verificar,Não foi encontrado um edifício contendo a coordenada,Catastro INSPIRE BU
Alcampo,43.5107704,-5.6936697,2413001TP8215S,,20096.9,Centro comercial,Centro comercial,Edifício de grande dimensão ou possível complexo multioperador,Catastro INSPIRE BU
