name,category,address,address2,city,state,ccaa,postal,country,phone,lat,lng,hours1,hours2,web,features,codsa,codat
Carrefour Actur Zaragoza,Hipermercado,"Calle María Zambrano, 71",,Zaragoza,Zaragoza,Aragón,50018,es,602438643,41.67581,-0.88995,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/actur_zaragoza.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Café bar Carrefour,Cajas de autopago,Cambiador de bebé,Cargador gratis,Carrefour Drive,Consigna automática,Entrega a domicilio,Fibra y Móvil O2,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Lavado de coches,Montaje de neumáticos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Servicios financieros Carrefour,Sushi Carrefour,Taller de bicicletas,Tartas de encargo,Telefonía móvil,Tintoreria,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis",0083,004I
Carrefour Alameda,Hipermercado,"Prolongación Avenida de Andalucía, s/n",,Málaga,Málaga,Andalucía,29007,es,608141309,36.715305,-4.456396,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/alameda_malaga.aspx,"Accesibilidad,Administración de Loterías,Ahumados Carrefour,Aparcamiento,Café bar Carrefour,Cambiador de bebé,Cargador gratis,Carrefour Drive,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Montaje de neumáticos,Pantallas surtido ampliado,Parada de Taxis,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de reciclaje,Revelado Kodak,Servicios financieros Carrefour,Taller de bicicletas,Telefonía móvil,Tintoreria,Transporte público,Wifi gratis",0013,0013
Carrefour Albacete,Hipermercado,"Avenida 1º de Mayo, s/n",,Albacete,Albacete,Castilla-La Mancha,02006,es,602676103,38.9838674,-1.8674715,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/albacete.aspx,"Accesibilidad,Aparcamiento,Cajas de autopago,Cambiador de bebé,Cargador gratis,Carrefour Drive,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Parada de Taxis,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Taller de bicicletas,Telefonía móvil,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis",0084,004P
Carrefour Alcalá Centro,Hipermercado,"Calle Vía Complutense, 49",,Alcalá de Henares,Madrid,Comunidad de Madrid,28805,es,600707845,40.487193,-3.360702,de 07:00 a 22:00,de 07:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/alcala_centro.aspx,"Accesibilidad,Carrefour Drive,Entrega a domicilio,Revelado Kodak,Sillas portabebé",0155,009O
Carrefour Alcalá de Henares,Hipermercado,"Calle Federico García Lorca, s/n",,Alcalá de Henares,Madrid,Comunidad de Madrid,28806,es,629882931,40.5035359,-3.3710701,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/alcala_de_henares.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Café bar Carrefour,Cajas de autopago,Cambiador de bebé,Cargador gratis,Carrefour Drive,Consigna automática,Entrega a domicilio,Farmacia,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Montaje de neumáticos,Oficina de Correos,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Servicio informático,Sillas portabebé,Telefonía móvil,Tintoreria,Transporte público,Wifi gratis",0056,000R
Carrefour Alcázar de San Juan,Hipermercado,"Calle Herencia, s/n",,Alcázar de San Juan,Ciudad Real,Castilla-La Mancha,13600,es,644815720,39.385847,-3.236480,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/alcazar_de_san_juan.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cambiador de bebé,Cargador gratis,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Montaje de neumáticos,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Servicios financieros Carrefour,Sillas portabebé,Telefonía móvil,Transporte público,Wifi gratis",8002,0049
Carrefour Alcobendas,Hipermercado,"Carretera de Burgos A1, km. 14,500",,Alcobendas,Madrid,Comunidad de Madrid,28108,es,644687793,40.526855,-3.651838,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/alcobendas.aspx,"Accesibilidad,Administración de Loterías,Ahumados Carrefour,Aparcamiento,Café bar Carrefour,Cajas de autopago,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Click_Collect,Entrega a domicilio,Farmacia,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Lavado de coches,Montaje de neumáticos,Oficina de Correos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parada de Taxis,Parafarmacia,Pizzería Carrefour,Platos preparados,Punto de Recarga Vehículo Eléctrico,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Scan_go,Servicios financieros Carrefour,Shop_Go PASS,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Telefonía móvil,Tintoreria,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0006,0006
Carrefour Alfafar - Valencia,Hipermercado,"Avenida de la Albufera, s/n",,Alfafar,Valencia,Comunidad Valenciana,46910,es,644985050,39.4187724,-0.3788885,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/alfafar_valencia.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cajas de autopago,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Click_Collect,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Montaje de neumáticos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Servicios financieros Carrefour,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Tartas de encargo,Telefonía móvil,Tintoreria,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0001,0001
Carrefour Alfonso Molina,Hipermercado,"Calle Francisco Pérez Carballo, 5",,A Coruña,Coruña,Galicia,15008,es,635507686,43.338209,-8.407421,de 09:00 a 22:00,de 10:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/alfonso_molina.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cajas de autopago,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Carrefour Drive,Consigna automática,Entrega a domicilio,Fila única,Financiación fácil,Instalación y montaje,Kiosco ONCE,Kioscos Club Carrefour,Montaje de neumáticos,Pantallas surtido ampliado,Pantallas venta por catálogo,Parada de Taxis,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Sala de lactancia Carrefour,Sillas portabebé,Sushi Carrefour,Taller de bicicletas,Telefonía móvil,Transporte público,Viajes y Taquilla Carrefour,Wifi gratis,Zona de juego infantil Carrefour",0011,0011
Carrefour Alfonso XIII - Cartagena,Hipermercado,"Paseo de Alfonso XIII, s/n",,Cartagena,Murcia,Murcia,30203,es,615061879,37.6083951,-0.9752553,de 09:00 a 22:00,de 09:00 a 22:00,https://www.carrefour.es/tiendas-carrefour/hipermercados/carrefour/alfonso_xiii_cartagena.aspx,"Accesibilidad,Administración de Loterías,Aparcamiento,Cajas de autopago,Cajeros automáticos,Cambiador de bebé,Cargador gratis,Click_Collect,Entrega a domicilio,Fila única,Financiación fácil,Gasolinera Carrefour,Kiosco ONCE,Montaje de neumáticos,Parada de Taxis,Parafarmacia,Platos preparados,Punto de reciclaje,Restaurantes,Revelado Kodak,Servicio informático,Sillas portabebé,Telefonía móvil,Transporte público,Wifi gratis",0014,0014
