objectNumber,storeName,distance,additionalOpeningInfo,seo,address.streetName,address.streetNumber,address.city,address.zip,address.state,address.longitude,address.latitude,status.name,status.from,status.to,openingHours.timeZone,openingHours.items,marketingData.externalUrl,marketingData.offerRegion,marketingData.offerRegionName,marketingData.zone,marketingData.zoneName,marketingData.infoIcons,marketingData.salesAssociationAddress
ES00215,Fraga,,"[{'locale': 'es-ES', 'headline': None, 'subtext': None}]","[{'locale': 'es-ES', 'text': 'Tu tienda Lidl en Fraga: Calidad y ahorro a tu alcance  \n  \nTe esperamos en tu tienda Lidl en Avda. Madrid, 34, en Fraga, donde hacer la compra es una experiencia cómoda y sencilla. Aquí encontrarás todo lo que necesitas para tu día a día, desde la compra semanal hasta esa adquisición de última hora. Para tu comodidad, te ofrecemos servicios como punto de recarga para vehículos eléctricos, parking, Wi-Fi gratis, taquillas, cajas de autopago y un local totalmente accesible.  \n  \nEn nuestros pasillos te espera un amplio surtido de frutas y verduras de temporada, pan y bollería recién horneados, así como pescado fresco, carne y embutidos de calidad. Descubre también nuestras reconocidas marcas propias y una gran selección de productos ecológicos y para el hogar. ¿Buscas un buen vino? Elige entre vinos tintos y blancos, nacionales o internacionales, y una variada gama de licores.  \n  \nNo olvides descargar la app Lidl Plus para activar cupones y ahorrar aún más. Consulta nuestras ofertas de lunes y viernes en el folleto o en la web. Al pagar, aceptamos efectivo, tarjeta de crédito y débito.'}]","Avda. Madrid,",34,Fraga,22520,Aragón,0.33812,41.5223,open,,,Europe/Madrid,"[{'date': '2026-07-13', 'timeRanges': [{'from': '2026-07-13T09:00:00', 'to': '2026-07-13T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-14', 'timeRanges': [{'from': '2026-07-14T09:00:00', 'to': '2026-07-14T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-15', 'timeRanges': [{'from': '2026-07-15T09:00:00', 'to': '2026-07-15T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-16', 'timeRanges': [{'from': '2026-07-16T09:00:00', 'to': '2026-07-16T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-17', 'timeRanges': [{'from': '2026-07-17T09:00:00', 'to': '2026-07-17T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-18', 'timeRanges': [{'from': '2026-07-18T09:00:00', 'to': '2026-07-18T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-19', 'timeRanges': [], 'reason': 'REGULAR'}]",,21,Huesca,PEN,Peninsula,"[{'id': 4, 'name': 'parking', 'translationName': 'icon.parking', 'odsName': 'parking', 'category': 'service'}, {'id': 35, 'name': 'freeWiFi', 'translationName': 'icon.freeWiFi', 'odsName': 'wifi', 'category': 'service'}, {'id': 13, 'name': 'shopNGo', 'translationName': 'icon.shopNGo', 'odsName': 'self-check-out', 'category': 'service'}]",
ES00219,Bcn-Cartagena,,"[{'locale': 'es-ES', 'headline': None, 'subtext': None}]","[{'locale': 'es-ES', 'text': 'Tu tienda Lidl en Barcelona: Calidad y frescura a tu alcance  \n  \nTe esperamos en tu tienda Lidl de C/ Cartagena, 210 en Barcelona, un espacio pensado para ti y tu comodidad. Aquí encontrarás todo lo que necesitas para tu compra diaria: desde fruta y verdura fresca de temporada hasta nuestro pan y bollería recién horneados. Explora nuestra selección de pescado fresco, cortes de carne y embutidos de alta calidad, junto con una gran variedad de productos de alimentación, ecológicos y artículos para el hogar de nuestras reconocidas marcas propias. Para tu próxima celebración, elige entre nuestra cuidada selección de vinos tintos y blancos, tanto nacionales como internacionales, y otras bebidas.  \n  \nAprovecha los servicios que te ofrecemos, como parking, Wi-Fi gratis, punto de recarga para vehículos eléctricos y cajas de autopago en un local totalmente accesible. No olvides activar tus cupones en la app Lidl Plus para ahorrar aún más. Consulta nuestras ofertas de lunes y viernes en el folleto o en nuestra web.  \n  \nAl pagar, puedes utilizar efectivo, tarjeta de crédito o débito.'}]","C/ Cartagena,",210,Barcelona,08013,Cataluña,2.18082,41.40652,open,,,Europe/Madrid,"[{'date': '2026-07-13', 'timeRanges': [{'from': '2026-07-13T09:00:00', 'to': '2026-07-13T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-14', 'timeRanges': [{'from': '2026-07-14T09:00:00', 'to': '2026-07-14T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-15', 'timeRanges': [{'from': '2026-07-15T09:00:00', 'to': '2026-07-15T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-16', 'timeRanges': [{'from': '2026-07-16T09:00:00', 'to': '2026-07-16T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-17', 'timeRanges': [{'from': '2026-07-17T09:00:00', 'to': '2026-07-17T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-18', 'timeRanges': [{'from': '2026-07-18T09:00:00', 'to': '2026-07-18T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-19', 'timeRanges': [{'from': '2026-07-19T12:00:00', 'to': '2026-07-19T19:00:00'}], 'reason': 'SUNDAY_PERIOD'}]",,26,Barcelona,PEN,Peninsula,"[{'id': 35, 'name': 'freeWiFi', 'translationName': 'icon.freeWiFi', 'odsName': 'wifi', 'category': 'service'}, {'id': 13, 'name': 'shopNGo', 'translationName': 'icon.shopNGo', 'odsName': 'self-check-out', 'category': 'service'}]","
"
ES00223,Golmés,,"[{'locale': 'es-ES', 'headline': None, 'subtext': None}]","[{'locale': 'es-ES', 'text': 'Tu tienda Lidl en Golmés: Calidad y frescura a tu alcance  \n  \nTe esperamos en tu tienda Lidl en Carrer Carretera N II, 2, en Golmés, donde hacer la compra es una experiencia cómoda y completa. Aquí encontrarás todo lo que necesitas para tu día a día, desde una gran variedad de fruta y verdura de temporada hasta nuestro pan y bollería recién horneados. Explora nuestra selección de pescado fresco, diferentes cortes de carne y embutidos de calidad. Además, te ofrecemos una amplia gama de productos de alimentación, artículos ecológicos y productos para el hogar de nuestras reconocidas marcas propias.  \n  \nPara tus compras semanales, una comida rápida o la próxima celebración familiar, tenemos lo que buscas. Descubre nuestra selección de vinos tintos y blancos, tanto nacionales como internacionales, y otras bebidas alcohólicas. Aprovecha los servicios que te ofrecemos, como parking, cajas de autopago, Wi-Fi gratis y punto de recarga para vehículos eléctricos. No olvides activar tus cupones en la app Lidl Plus para ahorrar aún más. Consulta nuestras ofertas de los lunes y viernes en el folleto o en línea. Al pagar, puedes utilizar efectivo, tarjeta de crédito o débito.'}]",N-2,Km 486,Golmés,25241,Cataluña,0.90355,41.62992,open,,,Europe/Madrid,"[{'date': '2026-07-13', 'timeRanges': [{'from': '2026-07-13T09:00:00', 'to': '2026-07-13T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-14', 'timeRanges': [{'from': '2026-07-14T09:00:00', 'to': '2026-07-14T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-15', 'timeRanges': [{'from': '2026-07-15T09:00:00', 'to': '2026-07-15T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-16', 'timeRanges': [{'from': '2026-07-16T09:00:00', 'to': '2026-07-16T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-17', 'timeRanges': [{'from': '2026-07-17T09:00:00', 'to': '2026-07-17T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-18', 'timeRanges': [{'from': '2026-07-18T09:00:00', 'to': '2026-07-18T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-19', 'timeRanges': [], 'reason': 'REGULAR'}]",,24,Lleida,PEN,Peninsula,"[{'id': 4, 'name': 'parking', 'translationName': 'icon.parking', 'odsName': 'parking', 'category': 'service'}, {'id': 35, 'name': 'freeWiFi', 'translationName': 'icon.freeWiFi', 'odsName': 'wifi', 'category': 'service'}]",
ES00229,Banyoles,,"[{'locale': 'es-ES', 'headline': None, 'subtext': None}]","[{'locale': 'es-ES', 'text': 'Tu tienda Lidl en Banyoles: Calidad y frescura a tu alcance  \n  \nTu tienda Lidl te espera en el Passeig Mas Riera, 19, en Banyoles, con todo lo que necesitas para tu día a día. Aquí podrás hacer tu compra de forma cómoda, aprovechando servicios como nuestro punto de recarga para vehículos eléctricos, Wi-Fi gratis, parking y cajas de autopago en un local totalmente accesible.  \n  \nLlena tu cesta con una gran variedad de fruta y verdura de temporada, pan y bollería recién horneados, pescado fresco, y una cuidada selección de carnes y embutidos. Además, encontrarás productos ecológicos y artículos para el hogar. Para tus celebraciones, explora nuestra sección de bebidas, que incluye vinos tintos y blancos de origen nacional e internacional, así como conocidos licores.  \n  \nNo te olvides de activar tus cupones en la app Lidl Plus para ahorrar aún más en tus marcas propias favoritas. Consulta nuestras ofertas del lunes y viernes en el folleto o en línea.  \n  \nAl pagar, puedes utilizar efectivo, tarjeta de crédito o débito.'}]",Passeig Mas Riera,19,Banyoles,17820,Cataluña,2.77562,42.11122,temp_closed,2026-03-30,2027-02-11,Europe/Madrid,"[{'date': '2026-07-13', 'timeRanges': [], 'reason': 'TEMPORARY_CLOSING'}, {'date': '2026-07-14', 'timeRanges': [], 'reason': 'TEMPORARY_CLOSING'}, {'date': '2026-07-15', 'timeRanges': [], 'reason': 'TEMPORARY_CLOSING'}, {'date': '2026-07-16', 'timeRanges': [], 'reason': 'TEMPORARY_CLOSING'}, {'date': '2026-07-17', 'timeRanges': [], 'reason': 'TEMPORARY_CLOSING'}, {'date': '2026-07-18', 'timeRanges': [], 'reason': 'TEMPORARY_CLOSING'}, {'date': '2026-07-19', 'timeRanges': [], 'reason': 'TEMPORARY_CLOSING'}]",,27,Girona,PEN,Peninsula,"[{'id': 4, 'name': 'parking', 'translationName': 'icon.parking', 'odsName': 'parking', 'category': 'service'}, {'id': 35, 'name': 'freeWiFi', 'translationName': 'icon.freeWiFi', 'odsName': 'wifi', 'category': 'service'}]","
"
ES00233,Figueres,,"[{'locale': 'es-ES', 'headline': None, 'subtext': None}]","[{'locale': 'es-ES', 'text': 'Lidl Figueres: Calidad y Frescura a tu Alcance  \n  \nTe esperamos en tu tienda Lidl en C/ Vilallonga, 74-78, en Figueres, donde hacer la compra es una experiencia cómoda y completa. Aquí encontrarás una gran variedad de productos de calidad a un precio ajustado. Disfruta de nuestra selección de fruta y verdura de temporada, pan y bollería recién horneados, pescado fresco, así como una cuidada oferta de carnes y embutidos de alta calidad. Además, te ofrecemos una amplia gama de productos de alimentación, artículos ecológicos y productos para el hogar. No te olvides de nuestras reconocidas marcas propias.  \n  \nPara tu compra semanal, una comida rápida para llevar o los preparativos para tu próxima fiesta, tenemos todo lo que necesitas. Descubre nuestra selección de vinos, desde tintos y blancos de España hasta variedades internacionales, y una gran variedad de licores. Con la app Lidl Plus, puedes activar cupones y ahorrar aún más. Consulta nuestras ofertas de los lunes y jueves en el folleto o en línea.  \n  \nTu tienda cuenta con servicios como punto de recarga para vehículos eléctricos, Wi-Fi gratis, taquillas, parking, cajas de autopago y es un local accesible. Al pagar, puedes utilizar efectivo, tarjeta de crédito o débito.'}]","C/ Vilallonga,",74-78,Figueres,17600,Cataluña,2.97366,42.26628,open,,,Europe/Madrid,"[{'date': '2026-07-13', 'timeRanges': [{'from': '2026-07-13T09:00:00', 'to': '2026-07-13T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-14', 'timeRanges': [{'from': '2026-07-14T09:00:00', 'to': '2026-07-14T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-15', 'timeRanges': [{'from': '2026-07-15T09:00:00', 'to': '2026-07-15T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-16', 'timeRanges': [{'from': '2026-07-16T09:00:00', 'to': '2026-07-16T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-17', 'timeRanges': [{'from': '2026-07-17T09:00:00', 'to': '2026-07-17T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-18', 'timeRanges': [{'from': '2026-07-18T09:00:00', 'to': '2026-07-18T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-19', 'timeRanges': [], 'reason': 'REGULAR'}]",,27,Girona,PEN,Peninsula,"[{'id': 4, 'name': 'parking', 'translationName': 'icon.parking', 'odsName': 'parking', 'category': 'service'}, {'id': 35, 'name': 'freeWiFi', 'translationName': 'icon.freeWiFi', 'odsName': 'wifi', 'category': 'service'}]","
"
ES00238,Tarragona-Ctra. Nacional,,"[{'locale': 'es-ES', 'headline': None, 'subtext': None}]","[{'locale': 'es-ES', 'text': 'Tu tienda Lidl en Tarragona: Calidad y frescura a tu alcance  \n  \nTu tienda Lidl en Ctra. València, 240, en Tarragona, te da la bienvenida. Aquí te espera una experiencia de compra cómoda, pensada para clientes que, como tú, buscan calidad a un precio ajustado. Disfruta de nuestra amplia selección de frutas y verduras de temporada, pan y bollería recién horneados, pescado fresco, así como una gran variedad de carnes y embutidos. Además, encontrarás productos ecológicos y todo lo necesario para tu hogar, destacando nuestras apreciadas marcas propias.  \n  \nPara tu comodidad, la tienda cuenta con parking, cajas de autopago, taquillas, Wi-Fi gratis, es un local accesible y dispone de punto de recarga para vehículos eléctricos. No olvides activar tus cupones en la app Lidl Plus para ahorrar aún más. Ya sea para la compra semanal, un producto para llevar o para organizar tu próxima fiesta, aquí lo tienes todo. Descubre nuestra selección de vinos tintos y blancos, tanto nacionales como internacionales, y otras bebidas.  \n  \nPuedes pagar en efectivo, con tarjeta de crédito o débito.'}]","Ctra. València,",240,Tarragona,43006,Cataluña,1.21936,41.11521,open,,,Europe/Madrid,"[{'date': '2026-07-13', 'timeRanges': [{'from': '2026-07-13T09:00:00', 'to': '2026-07-13T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-14', 'timeRanges': [{'from': '2026-07-14T09:00:00', 'to': '2026-07-14T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-15', 'timeRanges': [{'from': '2026-07-15T09:00:00', 'to': '2026-07-15T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-16', 'timeRanges': [{'from': '2026-07-16T09:00:00', 'to': '2026-07-16T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-17', 'timeRanges': [{'from': '2026-07-17T09:00:00', 'to': '2026-07-17T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-18', 'timeRanges': [{'from': '2026-07-18T09:00:00', 'to': '2026-07-18T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-19', 'timeRanges': [], 'reason': 'REGULAR'}]",,25,Tarragona,PEN,Peninsula,"[{'id': 4, 'name': 'parking', 'translationName': 'icon.parking', 'odsName': 'parking', 'category': 'service'}, {'id': 35, 'name': 'freeWiFi', 'translationName': 'icon.freeWiFi', 'odsName': 'wifi', 'category': 'service'}]",
ES00240,Bcn-Maragall,,"[{'locale': 'es-ES', 'headline': None, 'subtext': None}]","[{'locale': 'es-ES', 'text': 'Tu tienda Lidl en Passeig Maragall, Barcelona  \n  \nTe esperamos en tu tienda Lidl en el Passeig Maragall, 241, donde hacer la compra es una experiencia cómoda y completa. Aquí encontrarás todo lo que necesitas para tu día a día, combinando calidad con precios ajustados. Explora nuestra amplia gama de frutas y verduras frescas de temporada, pan y bollería recién horneados, pescado fresco, así como una cuidada selección de carnes y embutidos de alta calidad. Además, disponemos de productos ecológicos, artículos para el hogar y nuestras reconocidas marcas propias.  \n  \nPara tus descansos o comidas rápidas, tenemos productos para llevar. Si planeas una compra familiar o una fiesta, nuestra sección de bebidas te ofrece desde vinos tintos y blancos de España y del mundo hasta licores conocidos. No olvides consultar las ofertas de los lunes y viernes en el folleto o en línea. Con la app Lidl Plus, activa cupones y ahorra aún más. Tu tienda cuenta con parking, punto de recarga de VE, Wi-Fi gratis, taquillas, cajas de autopago y es un local accesible. Al pagar, puedes usar efectivo, tarjeta de crédito o débito.'}]","Passeig Maragall,",241,Barcelona,08032,Cataluña,2.17467,41.42579,open,,,Europe/Madrid,"[{'date': '2026-07-13', 'timeRanges': [{'from': '2026-07-13T09:00:00', 'to': '2026-07-13T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-14', 'timeRanges': [{'from': '2026-07-14T09:00:00', 'to': '2026-07-14T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-15', 'timeRanges': [{'from': '2026-07-15T09:00:00', 'to': '2026-07-15T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-16', 'timeRanges': [{'from': '2026-07-16T09:00:00', 'to': '2026-07-16T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-17', 'timeRanges': [{'from': '2026-07-17T09:00:00', 'to': '2026-07-17T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-18', 'timeRanges': [{'from': '2026-07-18T09:00:00', 'to': '2026-07-18T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-19', 'timeRanges': [], 'reason': 'REGULAR'}]",,26,Barcelona,PEN,Peninsula,"[{'id': 35, 'name': 'freeWiFi', 'translationName': 'icon.freeWiFi', 'odsName': 'wifi', 'category': 'service'}, {'id': 13, 'name': 'shopNGo', 'translationName': 'icon.shopNGo', 'odsName': 'self-check-out', 'category': 'service'}, {'id': 28, 'name': 'noNonFoodItems', 'translationName': 'icon.noNonFoodItems', 'odsName': 'food-1', 'category': 'assortment'}]","
"
ES00241,Rubí,,"[{'locale': 'es-ES', 'headline': None, 'subtext': None}]","[{'locale': 'es-ES', 'text': 'Tu compra fácil y completa en Lidl Rubí  \n  \nEn Carrer del Penedès, 6, te espera tu tienda Lidl en Rubí, pensada para que disfrutes de una compra cómoda y de calidad. Aquí puedes hacer tanto la compra semanal para la familia como encontrar algo rápido para tu pausa del mediodía. Llena tu cesta con fruta y verdura fresca de temporada, pan y bollería recién horneados, y una cuidada selección de carnes, pescado fresco y embutidos de calidad. Explora también nuestras reconocidas marcas propias, productos ecológicos y una gran variedad de vinos tintos y blancos, tanto nacionales como internacionales, además de otras bebidas.  \n  \nPara que tu visita sea aún más sencilla, te ofrecemos parking, cajas de autopago, taquillas y un local accesible. Aprovecha el Wi-Fi gratis y el punto de recarga para vehículos eléctricos. No olvides activar los cupones en tu app Lidl Plus para ahorrar más. Consulta las próximas ofertas de lunes y viernes en nuestro folleto o en la web. Al pagar, puedes utilizar efectivo, tarjeta de crédito o débito.'}]",Carrer del Penedès,7,Rubí,08191,Cataluña,2.04109,41.48501,open,,,Europe/Madrid,"[{'date': '2026-07-13', 'timeRanges': [{'from': '2026-07-13T09:00:00', 'to': '2026-07-13T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-14', 'timeRanges': [{'from': '2026-07-14T09:00:00', 'to': '2026-07-14T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-15', 'timeRanges': [{'from': '2026-07-15T09:00:00', 'to': '2026-07-15T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-16', 'timeRanges': [{'from': '2026-07-16T09:00:00', 'to': '2026-07-16T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-17', 'timeRanges': [{'from': '2026-07-17T09:00:00', 'to': '2026-07-17T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-18', 'timeRanges': [{'from': '2026-07-18T09:00:00', 'to': '2026-07-18T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-19', 'timeRanges': [], 'reason': 'REGULAR'}]",,26,Barcelona,PEN,Peninsula,"[{'id': 4, 'name': 'parking', 'translationName': 'icon.parking', 'odsName': 'parking', 'category': 'service'}, {'id': 35, 'name': 'freeWiFi', 'translationName': 'icon.freeWiFi', 'odsName': 'wifi', 'category': 'service'}]","
"
ES00242,Granoll-Cardedeu,,"[{'locale': 'es-ES', 'headline': None, 'subtext': None}]","[{'locale': 'es-ES', 'text': 'Tu tienda Lidl en Granollers: Calidad y frescura a tu alcance  \n  \nTu tienda Lidl en la C/ Dr. Salvador Llobet, 2 de Granollers te espera con una experiencia de compra cómoda y completa. Aquí encontrarás todo lo que necesitas para tu día a día, combinando calidad con precios ajustados. Te ofrecemos una amplia selección de fruta y verdura de temporada, pan y bollería recién horneados, pescado fresco, así como una gran variedad de carnes y embutidos de alta calidad. Además, disponemos de productos ecológicos y artículos para el hogar.  \n  \nPara tu comodidad, la tienda cuenta con parking, cajas de autopago, punto de recarga para vehículos eléctricos, Wi-Fi gratis, taquillas y es un local accesible. No te olvides de usar la app Lidl Plus para activar cupones y ahorrar aún más. Descubre nuestras reconocidas marcas propias y una cuidada selección de vinos tintos y blancos, tanto nacionales como internacionales, y otras bebidas. Ya sea para la compra semanal, un producto para llevar o para organizar tu próxima fiesta, aquí lo tienes todo.  \n  \nPuedes pagar con tarjeta de crédito, débito o en efectivo.'}]","C/ Dr. Salvador Llobet,",2,Granollers,08430,Cataluña,2.30123,41.61014,open,,,Europe/Madrid,"[{'date': '2026-07-13', 'timeRanges': [{'from': '2026-07-13T09:00:00', 'to': '2026-07-13T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-14', 'timeRanges': [{'from': '2026-07-14T09:00:00', 'to': '2026-07-14T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-15', 'timeRanges': [{'from': '2026-07-15T09:00:00', 'to': '2026-07-15T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-16', 'timeRanges': [{'from': '2026-07-16T09:00:00', 'to': '2026-07-16T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-17', 'timeRanges': [{'from': '2026-07-17T09:00:00', 'to': '2026-07-17T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-18', 'timeRanges': [{'from': '2026-07-18T09:00:00', 'to': '2026-07-18T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-19', 'timeRanges': [], 'reason': 'REGULAR'}]",,26,Barcelona,PEN,Peninsula,"[{'id': 4, 'name': 'parking', 'translationName': 'icon.parking', 'odsName': 'parking', 'category': 'service'}, {'id': 35, 'name': 'freeWiFi', 'translationName': 'icon.freeWiFi', 'odsName': 'wifi', 'category': 'service'}]","
"
ES00243,Sabadell-Can Feu,,"[{'locale': 'es-ES', 'headline': None, 'subtext': None}]","[{'locale': 'es-ES', 'text': 'Tu tienda Lidl en Sabadell: Calidad y frescura a tu alcance  \n  \nTu tienda Lidl te espera en el Passeig de Can Feu, 68-80 en Sabadell, donde la compra inteligente y la calidad van de la mano. Aquí encontrarás una amplia selección de productos frescos, desde fruta y verdura de temporada hasta pan y bollería recién horneados. Explora nuestra variedad de pescado fresco, cortes de carne y embutidos de alta calidad, junto con productos ecológicos y artículos para el hogar. Para tu comodidad, la tienda cuenta con parking, cajas de autopago, punto de recarga para vehículos eléctricos, Wi-Fi gratis, taquillas y es un local accesible.  \n  \nDescarga la app Lidl Plus y activa tus cupones para ahorrar aún más en tus compras. Ya sea para la compra semanal, un producto para llevar en tu pausa del mediodía o para organizar tu próxima fiesta, tenemos lo que necesitas, incluyendo una gran selección de vinos tintos y blancos, tanto nacionales como internacionales, y otras bebidas. No te pierdas nuestras ofertas del lunes y viernes, disponibles en el folleto y online. Al pagar, puedes utilizar efectivo, tarjeta de crédito o débito.'}]","Passeig de Can Feu,",68-80,Sabadell,08205,Cataluña,2.09367,41.54223,open,,,Europe/Madrid,"[{'date': '2026-07-13', 'timeRanges': [{'from': '2026-07-13T09:00:00', 'to': '2026-07-13T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-14', 'timeRanges': [{'from': '2026-07-14T09:00:00', 'to': '2026-07-14T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-15', 'timeRanges': [{'from': '2026-07-15T09:00:00', 'to': '2026-07-15T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-16', 'timeRanges': [{'from': '2026-07-16T09:00:00', 'to': '2026-07-16T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-17', 'timeRanges': [{'from': '2026-07-17T09:00:00', 'to': '2026-07-17T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-18', 'timeRanges': [{'from': '2026-07-18T09:00:00', 'to': '2026-07-18T21:30:00'}], 'reason': 'REGULAR'}, {'date': '2026-07-19', 'timeRanges': [], 'reason': 'REGULAR'}]",,26,Barcelona,PEN,Peninsula,"[{'id': 4, 'name': 'parking', 'translationName': 'icon.parking', 'odsName': 'parking', 'category': 'service'}, {'id': 35, 'name': 'freeWiFi', 'translationName': 'icon.freeWiFi', 'odsName': 'wifi', 'category': 'service'}, {'id': 13, 'name': 'shopNGo', 'translationName': 'icon.shopNGo', 'odsName': 'self-check-out', 'category': 'service'}]","
"
