osm_id,nome,marca,filial,tipo_comercio,amenidade,morada_completa,rua,numero_porta,codigo_postal,cidade,suburbio,estado,pais,telefone,email,website,horario,entrega,auto_checkout,estacionamento,acessibilidade_cadeira_rodas,latitude,longitude
relation/1549919,Mercadona,Mercadona,,supermarket,,,,,,Gijón/Xixón,,,,,,,,,,,,43.5434233,-5.7051418
relation/1811116,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,41.5910011,-0.9442328
relation/2792114,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,37.9700986,-1.225499
relation/2991108,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,Mo-Sa 09:15-21:15,,,,,40.1929245,-3.8043545
relation/3304109,Mercadona,Mercadona,,supermarket,,Carrer Riu Güell,Carrer Riu Güell,,,Girona,,,,+34 972400322,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,,41.9669332,2.807177
relation/3981980,Mercadona,Mercadona,,supermarket,,Avinguda de Josep Tarradelles,Avinguda de Josep Tarradelles,,,Girona,,,,34972656301,,https://www.mercadona.es,Mo-Sa 09:15-21:15,,,,,41.9825539,2.8111065
relation/4211987,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,Mo-Sa 09:00-21:30; Su off,,,,,38.020042,-1.1380259
relation/4755295,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,Mo-Sa 09:00-21:30,,,,,41.856685,2.6748542
relation/6528866,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,,,,,,41.622727,-0.9371521
relation/11506841,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,43.5407899,-7.0630713
relation/13644582,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,39.592806,-0.302633
relation/14573487,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,38.001855,-0.6575922
relation/16124355,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,38.0685872,-0.7339225
relation/18217243,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-22:00,,,,,38.0184527,-0.7020298
relation/19936634,Mercadona,Mercadona,,supermarket,,Calle Alcalde Julio Labradero s/n,Calle Alcalde Julio Labradero,s/n,28220,Majadahonda,,,,+34 916 39 08 43,,https://www.mercadona.es,"Mo-Sa 09:00-21:30; Su,PH off",,,,yes,40.4671082,-3.8763584
way/22858025,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,38.3689899,-0.4426191
way/23489896,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,38.355649,-0.4783817
way/23657728,Mercadona,Mercadona,,supermarket,,,,,,Oviedo,,,,,,https://www.mercadona.es,,,,,yes,43.3889863,-5.818866
way/26490196,Mercadona,Mercadona,,supermarket,parking,Avenida Los Majuelos s/n,Avenida Los Majuelos,s/n,38108,Taco - San Cristóbal de La Laguna,,,,,,,,,,surface,yes,28.4532495,-16.2973428
way/27372283,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,36.9892476,-5.9384194
way/27912558,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,,Mo-Sa 09:00-22:00,,,,yes,37.9314861,-0.7261228
way/29249015,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,40.4643116,-3.4458325
way/30254231,Mercadona,Mercadona,,supermarket,,Calle Rafael Lucenqui Martínez s/n,Calle Rafael Lucenqui Martínez,s/n,10004,Cáceres,,,,34927182600,,https://www.mercadona.es,,,,,,39.4881479,-6.3675772
way/34766694,Mercadona,Mercadona,,supermarket,,,,,,,,,,34965784586,,https://www.mercadona.es/,Mo-Sa 09:00-21:30,,,,yes,38.843434,0.1035299
way/35969653,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,Mo-Sa 09:00-21:30,,,,yes,40.4121046,0.4271597
way/37053940,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,yes,39.5381289,2.4387998
way/38350863,Mercadona,Mercadona,,supermarket,,Calle Caleruega s/n,Calle Caleruega,s/n,9001,Burgos,,,,+34 947 46 07 20,,https://www.mercadona.es,"Mo-Sa 09:00-21:30; Tu,Su off",,,,yes,42.3349579,-3.7121181
way/39274291,Mercadona,Mercadona,,supermarket,,Calle del Padre Llanos,Calle del Padre Llanos,,,Valladolid,,,,,,https://www.mercadona.es,,,,,,41.6415593,-4.7643154
way/41475938,Mercadona,Mercadona,,supermarket,,,,,,,,,,,,https://www.mercadona.es,,,,,,38.7832516,0.1803927
